Frame Number,Timecode,delta_hue,delta_lum,delta_hsv_avg,delta_sat
254,00:00:08.475,0.0741975308642,0.0134259259259,0.0312242798354,0.00604938271605
255,00:00:08.508,0.0536111111111,0.0140432098765,0.0238271604938,0.00382716049383
256,00:00:08.541,0.803950617284,0.188518518519,0.384228395062,0.160216049383
257,00:00:08.575,0.229135802469,0.0491975308642,0.10262345679,0.029537037037
258,00:00:08.608,0.282962962963,0.0852777777778,0.14774691358,0.075
259,00:00:08.641,0.195,0.0282407407407,0.0811008230453,0.0200617283951
260,00:00:08.675,0.259012345679,0.0466666666667,0.114218106996,0.036975308642
261,00:00:08.708,0.280061728395,0.0397222222222,0.124094650206,0.0525
262,00:00:08.742,0.253765432099,0.0936111111111,0.140030864198,0.0727160493827
263,00:00:08.775,0.138580246914,0.0312037037037,0.0677366255144,0.0334259259259
264,00:00:08.808,0.220462962963,0.0442283950617,0.10383744856,0.0468209876543
265,00:00:08.842,0.198179012346,0.031450617284,0.0871296296296,0.0317592592593
266,00:00:08.875,0.396388888889,0.13237654321,0.211697530864,0.106327160494
267,00:00:08.908,0.189783950617,0.0384567901235,0.095,0.0567592592593
268,00:00:08.942,0.198179012346,0.0337037037037,0.088950617284,0.0349691358025
269,00:00:08.975,0.354969135802,0.0493518518519,0.15274691358,0.0539197530864
270,00:00:09.009,0.169814814815,0.0327469135802,0.0743724279835,0.0205555555556
271,00:00:09.042,0.0604012345679,0.0102160493827,0.0261522633745,0.00783950617284
272,00:00:09.075,0.0542283950617,0.00648148148148,0.0221604938272,0.00577160493827
273,00:00:09.109,0.0931790123457,0.0119135802469,0.0413683127572,0.019012345679
274,00:00:09.142,0.808641975309,0.128950617284,0.372427983539,0.179691358025
275,00:00:09.175,0.315462962963,0.0337037037037,0.132222222222,0.0475
276,00:00:09.209,0.354043209877,0.0265432098765,0.141399176955,0.0436111111111
277,00:00:09.242,0.27799382716,0.0348148148148,0.12378600823,0.058549382716
278,00:00:09.275,0.172561728395,0.038487654321,0.0878086419753,0.0523765432099
279,00:00:09.309,0.0618827160494,0.0103395061728,0.0282407407407,0.0125
280,00:00:09.342,0.0454012345679,0.00527777777778,0.0184773662551,0.00475308641975
281,00:00:09.376,0.0652777777778,0.0087037037037,0.0268930041152,0.0066975308642
282,00:00:09.409,0.177037037037,0.023024691358,0.0713991769547,0.0141358024691
283,00:00:09.442,0.0599691358025,0.00657407407407,0.0238271604938,0.00493827160494
284,00:00:09.476,0.0456481481481,0.00314814814815,0.0173456790123,0.00324074074074
285,00:00:09.509,0.0575925925926,0.00601851851852,0.0230658436214,0.00558641975309
286,00:00:09.542,2.39552469136,0.0853703703704,0.907283950617,0.240956790123
287,00:00:09.576,0.343425925926,0.0310802469136,0.141965020576,0.0513888888889
288,00:00:09.609,0.677191358025,0.0269444444444,0.255833333333,0.0633641975309
289,00:00:09.642,30.8572530864,0.0332098765432,10.9129835391,1.84848765432
290,00:00:09.676,0.359537037037,0.032037037037,0.147561728395,0.0511111111111
291,00:00:09.709,0.0787037037037,0.0118518518519,0.0318209876543,0.00490740740741
292,00:00:09.743,0.201234567901,0.00817901234568,0.0793106995885,0.0285185185185
293,00:00:09.776,0.0777469135802,0.0100925925926,0.0345781893004,0.0158950617284
294,00:00:09.809,0.166172839506,0.0111419753086,0.0689711934156,0.0295987654321
295,00:00:09.843,0.072037037037,0.00679012345679,0.0297427983539,0.0104012345679
296,00:00:09.876,0.0472530864198,0.0041975308642,0.0182716049383,0.00336419753086
297,00:00:09.909,0.0641049382716,0.0066049382716,0.0281687242798,0.0137962962963
298,00:00:09.943,0.4425,0.0169135802469,0.166090534979,0.0388580246914
299,00:00:09.976,0.0272530864198,0.00796296296296,0.0139609053498,0.00666666666667
300,00:00:10.010,0.0514197530864,0.0041975308642,0.0236522633745,0.0153395061728
301,00:00:10.043,0.0678086419753,0.00719135802469,0.0263580246914,0.00407407407407
302,00:00:10.076,0.0318209876543,0.00648148148148,0.013683127572,0.00274691358025
303,00:00:10.110,0.0148148148148,0.00302469135802,0.00631687242798,0.00111111111111
304,00:00:10.143,0.020524691358,0.0025,0.00818930041152,0.00154320987654
305,00:00:10.176,0.0272530864198,0.00435185185185,0.0112139917695,0.00203703703704
306,00:00:10.210,0.124691358025,0.00234567901235,0.0447736625514,0.00728395061728
